ano;mes;amazonia;caatinga;cerrado;mata_atlantica;pampa;pantanal;total_mensal;presidente;date
2007; 4;  432;   26;  1508; 528;  25;   98;  2617;lula;abr 2007
2007; 5; 1329;  271;  7944; 788;  63;  170; 10565;lula;mai 2007
2007; 6; 2866; 1162; 18839;4578; 336;  479; 28260;lula;jun 2007
2007; 7; 5238; 2717; 38635;3589; 407;  933; 51519;lula;jul 2007
2007; 8;37397; 3097; 72717;3911; 110; 3180;120412;lula;ago 2007
2007; 9;60887; 8637;118753;5560;  78;10575;204490;lula;set 2007
2007;10;22883;14771; 56652;5930;   3; 2826;103065;lula;out 2007
2007;11;14022;18434; 11951;2930;  11;  358; 47706;lula;nov 2007
2007;12; 1799; 6110;   877; 200;   4;   53;  9043;lula;dez 2007
2008; 1; 1410;  487;   207; 111;  19;    8;  2242;lula;jan 2008
2008; 2;  721;   58;    88; 159;  33;   15;  1074;lula;fev 2008
2008; 3;  798;   40;   267; 279;  13;   22;  1419;lula;mar 2008
2008; 4;  638;   11;   516; 204; 122;   34;  1525;lula;abr 2008
2008; 5;  508;   21;  2377;1861; 400;   73;  5240;lula;mai 2008
2008; 6; 1693;   81;  7813;1651; 129;  145; 11512;lula;jun 2008
2008; 7; 4507;  150; 13691;9030; 649;  733; 28760;lula;jul 2008
2008; 8;17498; 1329; 25652;2681;  40; 1475; 48675;lula;ago 2008
2008; 9;18347; 4521; 39781;2963;  10; 3983; 69605;lula;set 2008
2008;10;15520;20322; 40038;4218;  10; 3068; 83176;lula;out 2008
2008;11; 9499;18262;  8136;1359;   7;  466; 37729;lula;nov 2008
2008;12; 3553; 5225;   892; 451;  20; 1231; 11372;lula;dez 2008
2009; 1;  412;  588;   258; 200;  43;  612;  2113;lula;jan 2009
2009; 2;  991;   43;   154; 135;  10;  183;  1516;lula;fev 2009
2009; 3;  765;  325;   295; 336;   5;  119;  1845;lula;mar 2009
2009; 4;  512;   67;   599;1259; 297;  753;  3487;lula;abr 2009
2009; 5; 1870;   18;  2014;1827;1248; 2047;  9024;lula;mai 2009
2009; 6; 1689;   77;  5229;2051; 176;  678;  9900;lula;jun 2009
2009; 7; 2264;  371; 12868;1567; 207;  744; 18021;lula;jul 2009
2009; 8; 5620;  713; 19084;4022; 201; 1645; 31285;lula;ago 2009
2009; 9;10748; 6672; 24263; 904;   5; 3452; 46044;lula;set 2009
2009;10;12340; 5757;  5637;1042;   1; 2737; 27514;lula;out 2009
2009;11;14669;11063;  3399; 259;   0;  797; 30187;lula;nov 2009
2009;12; 5131; 6115;   553; 225;  12;   42; 12078;lula;dez 2009
2010; 1; 1358;  292;   172; 220;   8;   46;  2096;lula;jan 2010
